id,word,simple_word,kinds,num_defs,def_freq,wiki_freq,crea_freq,ngram_freq,afi,commonness
0myw40a,ADN,ADN,sust,2,15,2366.0,,,,1
1eURqN6,Alcorán,Alcorán,sust,1,0,1.0,,,,0
1ngekAY,algol,algol,sust,1,0,44.0,0.17,18.0,al.ˈgol,0
24dECiL,alpes,alpes,sust,1,0,762.0,3.38,223.0,ˈal.pes,1
2HAVxeg,"amazonio, nia",amazonio,adj,1,0,1.0,,7.0,a.ma.ˈθo.njo,0
2TYLRJN,ana1,ana,sust,1,0,1427.0,61.06,4937.0,ˈa.na,2
2TZBL8T,ana2,ana,adv,1,0,1427.0,61.06,4937.0,ˈa.na,2
2TZfsF6,ana3,ana,sust,1,0,1427.0,61.06,4937.0,ˈa.na,2
2a5bEaX,andorra,andorra,sust,1,0,468.0,2.73,53.0,an.ˈd̪o.ra,0
3D3HZtD,apocalipsis,apocalipsis,sust,2,0,489.0,3.28,9948.0,a.po.ka.ˈlip.sis,2
3Nk6FMC,"arabio, bia",arabio,adj,1,0,1.0,0.01,7.0,a.ˈɾa.bjo,0
3Wj8Jdo,argel,argel,adj,3,0,380.0,5.91,348.0,aɾ.ˈxel,1
3YcjUPF,aries,aries,adj,1,0,152.0,1.53,634.0,ˈa.ɾjes,1
5O7GVPq,"bernardo, da",bernardo,adj,2,1,409.0,18.25,1134.0,beɾ.ˈnaɾ.d̪o,2
63WCL5m,brasil1,brasil,"sust,adj",5,6,10798.0,65.86,1337.0,bɾa.ˈsil,2
6BzdAlo,bruselas1,bruselas,sust,1,0,1450.0,24.25,448.0,bɾu.ˈse.las,1
5JO19Zh,"bélgico, ca",bélgico,adj,1,0,1.0,,16.0,ˈbel.xi.ko,0
6gfNz7X,calahorra,calahorra,sust,2,0,176.0,0.7,12.0,ka.la.ˈo.ra,0
7YKDJu2,caribe,caribe,"adj,sust",9,4,2209.0,25.99,4188.0,ka.ˈɾi.be,2
7alXX90,carlota,carlota,sust,1,0,249.0,13.69,526.0,kaɾ.ˈlo.t̪a,1
7tubtZM,catalina1,catalina,sust,1,0,724.0,17.72,1102.0,ka.t̪a.ˈli.na,2
7u0cj9M,catalina2,catalina,sust,1,0,724.0,17.72,1102.0,ka.t̪a.ˈli.na,2
AIvlp3p,"congo, ga",congo,"adj,sust",11,2,555.0,3.67,2921.0,ˈkon.go,2
Asvt3uy,corinto2,corinto,adj,2,1,422.0,1.27,469.0,ko.ˈɾin.t̪o,1
B3KZ8qf,coruña,coruña,sust,1,0,381.0,15.69,66.0,ko.ˈɾu.ɲa,0
AoOGgUs,Corán,Corán,sust,1,6,470.0,,,,1
BFIsRPO,creta,creta,sust,1,0,581.0,1.41,1683.0,ˈkɾe.t̪a,2
BJeMNjL,cristina,cristina,sust,2,0,498.0,26.44,1340.0,kɾis.ˈt̪i.na,2
E1xhjgs,DNA,DNA,sust,1,0,296.0,,,,0
BrL6vhK,dante,dante,sust,2,0,667.0,5.27,1192.0,ˈd̪an.t̪e,2
C7vmlKJ,"delio, lia",delio,adj,2,1,42.0,0.17,82.0,ˈd̪e.ljo,0
Di8q625,diego,diego,sust,1,0,784.0,55.58,2232.0,ˈd̪je.go,2
GJ6P8lx,escorpio,escorpio,adj,1,0,35.0,1.23,423.0,es.ˈkoɾ.pjo,1
H60ZZYE,eufrasia,eufrasia,sust,1,0,5.0,0.21,135.0,ew.ˈfɾa.sja,1
HtTbU2A,"filadelfio, fia",filadelfio,adj,2,1,0.0,,13.0,fi.la.ˈd̪el.fjo,0
HvsyDpW,filomena,filomena,sust,1,0,38.0,0.36,87.0,fi.lo.ˈme.na,0
IOHClwu,francisca,francisca,sust,1,0,153.0,5.88,450.0,fɾan.ˈθis.ka,1
IOJEkvX,"francisco, ca",francisco,adj,2,0,1229.0,140.01,2243.0,fɾan.ˈθis.ko,2
Ihi3beT,gal,gal,sust,1,0,132.0,21.32,1526.0,gal,2
IrNN0rs,gante,gante,sust,1,0,170.0,1.29,272.0,ˈgan.t̪e,1
J8xQPeD,"germán, na",germán,adj,1,0,133.0,15.32,153.0,xeɾ.ˈman,1
JY3uvB3,griñón1,griñón,sust,1,0,30.0,0.41,138.0,gɾi.ˈɲon,1
JY4GPVS,griñón2,griñón,sust,1,0,30.0,0.41,138.0,gɾi.ˈɲon,1
MA5TYgw,isa,isa,sust,1,0,256.0,1.1,2997.0,ˈi.sa,2
MAOZu6u,ISBN,ISBN,sust,2,1,23894.0,,,,0
MAeQ3pG,"isidro, dra",isidro,sust,2,0,88.0,11.44,250.0,i.ˈsi.d̪ɾo,1
MQjlSCb,"jerónimo, ma",jerónimo,adj,2,3,242.0,6.92,1178.0,xe.ˈɾo.ni.mo,2
MRGvkek,Jesús,Jesús,interj,2,0,3164.0,,,,0
MWu3Fmm,jordán,jordán,sust,1,0,162.0,2.95,30.0,xoɾ.ˈd̪an,0
MYZXqRp,juan,juan,sust,2,0,2836.0,374.96,4830.0,xwan,2
Mbtpt97,julia,julia,sust,1,0,579.0,17.77,623.0,ˈxu.lja,1
NcHQvjE,lord,lord,sust,3,1,640.0,9.32,114507.0,loɾd̪,3
NggyaeR,luis1,luis,sust,1,0,1247.0,258.06,3907.0,lwis,2
Nghre07,luisa,luisa,sust,1,0,237.0,26.9,814.0,ˈlwi.sa,2
OUyBUj4,marte,marte,sust,1,1,1443.0,11.96,562.0,ˈmaɾ.t̪e,1
Oi0zAYZ,meca,meca,sust,1,0,141.0,3.06,3756.0,ˈme.ka,2
PEeQmq5,milán,milán,sust,1,0,2109.0,16.59,117.0,mi.ˈlan,1
QTcNnVg,nicaragua,nicaragua,sust,1,0,2054.0,47.11,341.0,ni.ka.ˈɾa.gwa,1
QYE7AV3,nochebuena,nochebuena,sust,2,2,110.0,2.68,978.0,no.t͡ʃe.ˈbwe.na,2
R0aOeqb,olimpo,olimpo,sust,4,2,241.0,3.59,1146.0,o.ˈlim.po,2
R6xmViN,oporto,oporto,sust,1,0,469.0,4.05,5830.0,o.ˈpoɾ.t̪o,2
RPxdjMe,paco1,paco,sust,3,0,347.0,25.91,1420.0,ˈpa.ko,2
RQ3rtmp,paco2,paco,sust,2,1,347.0,25.91,1420.0,ˈpa.ko,2
RQ4TNbp,paco3,paco,sust,1,0,347.0,25.91,1420.0,ˈpa.ko,2
RQ4rQf6,paco4,paco,sust,3,0,347.0,25.91,1420.0,ˈpa.ko,2
RQ5T4Ke,"paco5, ca",paco,sust,2,1,347.0,25.91,1420.0,ˈpa.ko,2
RdM22Zz,panamá,panamá,sust,2,0,2685.0,39.4,1361.0,pa.na.ˈma,2
ReE7o5E,pancracio,pancracio,sust,1,1,28.0,0.68,755.0,pan.ˈkɾa.θjo,2
Rqb9ZsA,paraguay,paraguay,sust,1,0,4782.0,21.51,150.0,pa.ɾa.ˈgwaj,1
S3MruDA,pascal,pascal,sust,1,4,201.0,3.78,299.0,pas.ˈkal,1
SK3AVF4,pedro,pedro,sust,3,0,2093.0,149.04,3616.0,ˈpe.d̪ɾo,2
SUZRqwY,Pentecostés,Pentecostés,sust,2,1,181.0,,,,0
Sl7KwJL,perú,perú,sust,1,0,12509.0,67.14,394.0,pe.ˈɾu,1
TNLmXRB,platón,platón,sust,1,0,833.0,8.35,2125.0,pla.ˈt̪on,2
UYkBm49,pucela,pucela,sust,1,0,8.0,0.08,9.0,pu.ˈθe.la,0
V6gVrFM,ramiro,ramiro,sust,1,0,172.0,9.38,254.0,ra.ˈmi.ɾo,1
Wr9whEf,rusia,rusia,sust,1,0,6911.0,35.36,1045.0,ˈru.sja,2
X18zKvX,salamanca,salamanca,sust,3,0,3314.0,21.44,2323.0,sa.la.ˈman.ka,2
XLlIh8p,saturno,saturno,sust,1,0,437.0,6.07,117.0,sa.ˈt̪uɾ.no,1
ZzcN8W0,tomar,tomar,verb,39,700,39289.0,134.32,1253638.0,t̪o.ˈmaɾ,4
b0q6VT2,"ucranio, nia",ucranio,adj,1,0,14.0,0.13,170.0,u.ˈkɾa.njo,0
